Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.61817E-3,36.619517884,0.090608875,0.00419916,0,0
1.62279E-3,36.781797341,0.090855718,0.00409918,0,0
1.64565E-3,37.110369407,0.09207452,0.00389922,0,0
1.65691E-3,37.276060787,0.092674603,0.00379924,0,0
1.69737E-3,37.614508863,0.094826558,0.00359928,0,0
1.70479E-3,37.784988124,0.095220874,0.0034993,0,0
1.71253E-3,38.12676432,0.095631718,0.00329934,0,0
1.72215E-3,38.29897889,0.096141973,0.00319936,0,0
1.75632E-3,38.649296125,0.097953065,0.0029994,0,0
1.76276E-3,38.825572326,0.098294216,0.00289942,0,0
1.76476E-3,39.002048346,0.098399966,0.00279944,0,0
1.77441E-3,39.35641418,0.098910342,0.00259948,0,0
1.78073E-3,39.534486775,0.099244483,0.0024995,0,0
1.84104E-3,39.900185987,0.102427573,0.00229954,0,0
1.86574E-3,40.086760382,0.103728247,0.00219956,0,0
1.87008E-3,40.273767924,0.103956086,0.00209958,0,0
1.88652E-3,40.650349867,0.104820771,0.00189962,0,0
1.88834E-3,40.839184326,0.104916423,0.00179964,0,0
1.9154E-3,41.030724238,0.10633668,0.00169966,0,0
1.93334E-3,41.416609099,0.107277428,0.0014997,0,0
1.95339E-3,41.611947829,0.108327108,0.00139972,0,0
1.95406E-3,41.807353826,0.108362312,0.00129974,0,0
1.96182E-3,42.003535826,0.108768346,0.00119976,0,0
2.00316E-3,42.404078915,0.110928515,0.0009998,0,0
2.02081E-3,42.606159585,0.111848704,0.00089982,0,0
2.021E-3,42.808259296,0.11185863,0.00079984,0,0
2.0501E-3,43.01326892,0.113374282,0.00069986,0,0
2.05037E-3,43.423328979,0.113388457,0.0004999,0,0
2.08225E-3,43.631553544,0.115045803,0.00039992,0,0
2.09067E-3,43.840620714,0.11548337,0.00029994,0,0
2.80797E-1,71.920310217,0.99999993,0.00019996,0,0
2.80797E-1,99.999997774,0.99999993,0.00009998,0.5,0
2.80797E-1,100,0.99999993,0.00009998,1,0
